,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,year,day,date,tx,tm,tn,rad,et0,hourmin_tx,hourmin_tn,station,lat_in_rad,long_in_rad,alt_in_rad,hourmin_ocaso,hourmin_orto,hourmin_ocaso-hourmin_tx,hourmin_orto-hourmin_tn,energyt,n_val_temp,ra,vpd,deltat,ea,es,energyt_prev,hourmin_tn_prev,hourmin_tx_prev,tx_prev,tn_prev,season,preci,tdew
549339,554001,554001,554001,554001,2017,19,2017-01-19,7.41,4.413,1.63,4.29,1.3657383712922433,14.733333333333333,1.1666666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.233333333333334,7.416666666666668,2.5000000000000018,6.25,105.91,48.0,17.28219415540175,0.2194156160177642,5.78,0.6393792147600763,0.8587948307778406,105.91,1.1666666666666667,14.733333333333333,7.41,1.63,winter,2.8,0.6299999999999999
549456,554118,554118,554118,554118,2017,20,2017-01-20,6.408,3.393,-0.296,2.454,0.5462500228976788,15.5,23.86666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.25,7.416666666666668,1.75,-16.45,81.439,48.0,17.412942756160238,0.2242749473313858,6.7040000000000015,0.5555355129193584,0.7798104602507444,81.439,23.86666666666667,15.5,6.408,-0.296,winter,7.0,-1.296
549619,554281,554281,554281,554281,2017,21,2017-01-21,9.79,4.96,-1.355,3.952,1.0270018998017192,12.366666666666667,4.533333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.266666666666666,7.4,4.899999999999999,2.8666666666666667,119.0515,48.0,17.547585386718975,0.3682473776669668,11.145,0.51371139113277,0.8819587687997368,119.0515,4.533333333333333,12.366666666666667,9.79,-1.355,winter,2.0,-2.355
549642,554304,554304,554304,554304,2017,22,2017-01-22,11.25,8.76,5.808,4.087,1.595428936582015,15.133333333333333,23.73333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.283333333333335,7.4,2.150000000000002,-16.333333333333336,210.282,48.0,17.68607830810701,0.2680316444348417,5.442,0.8606886967776172,1.1287203412124591,210.282,23.73333333333333,15.133333333333333,11.25,5.808,winter,0.0,4.808
549743,554405,554405,554405,554405,2017,23,2017-01-23,12.43,6.106,0.301,9.13,1.1744808136878877,15.2,6.933333333333334,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.3,7.383333333333334,2.1000000000000014,0.4500000000000002,146.5405,48.0,17.828376027104362,0.4531528875911012,12.129,0.5804177522784278,1.033570639869529,146.5405,6.933333333333334,15.2,12.43,0.301,winter,0.0,-0.6990000000000001
549914,554577,554577,554577,554577,2017,24,2017-01-24,15.35,6.968999999999999,0.1669999999999999,12.49,1.4066324193771047,13.466666666666669,2.6666666666666665,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.316666666666666,7.383333333333334,3.85,4.716666666666667,167.257,48.0,17.974431286765718,0.6064606623716561,15.183,0.5747485911422509,1.1812092535139072,167.257,2.6666666666666665,13.466666666666669,15.35,0.1669999999999999,winter,0.0,-0.8330000000000001
549946,554609,554609,554609,554609,2017,25,2017-01-25,14.94,6.354,-0.6890000000000001,13.81,1.4822760300343276,14.866666666666667,7.166666666666668,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.333333333333332,7.366666666666666,2.466666666666665,0.1999999999999993,152.5055,48.0,18.12419505914049,0.6001309065619572,15.629,0.5396754420978848,1.139806348659842,152.5055,7.166666666666668,14.866666666666667,14.94,-0.6890000000000001,winter,0.0,-1.689
550079,554743,554743,554743,554743,2017,26,2017-01-26,12.1,5.79,0.104,9.27,1.1114156278656508,13.1,6.933333333333334,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.35,7.35,4.250000000000002,0.4166666666666661,138.971,48.0,18.277616540304543,0.4415386231870271,11.996,0.5721002089447379,1.013638832131765,138.971,6.933333333333334,13.1,12.1,0.104,winter,0.0,-0.896
550167,554832,554832,554832,554832,2017,27,2017-01-27,12.64,8.61,6.2079999999999975,7.71,1.9148849241609167,15.3,6.766666666666668,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.366666666666667,7.35,2.0666666666666664,0.583333333333333,206.5305,48.0,18.43464314781058,0.3207039979601117,6.432000000000002,0.8850577022586573,1.205761700218769,206.5305,6.766666666666668,15.3,12.64,6.2079999999999975,winter,0.8,5.2079999999999975
550259,554924,554924,554924,554924,2017,28,2017-01-28,14.62,8.78,3.154,13.87,2.753808469398584,13.9,23.66666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.383333333333333,7.333333333333332,3.4833333333333325,-16.333333333333336,210.7295,48.0,18.59522052065512,0.5016230410500102,11.466,0.7134563433325942,1.2150793843826044,210.7295,23.66666666666667,13.9,14.62,3.154,winter,0.0,2.154
550343,555008,555008,555008,555008,2017,29,2017-01-29,14.28,6.952000000000001,1.3630000000000002,11.67,1.3622328519994995,14.433333333333335,3.8333333333333335,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.4,7.333333333333332,2.966666666666665,3.5,166.84900000000005,48.0,18.75929252185137,0.5238730905752621,12.917,0.6271258896826145,1.1509989802578766,166.84900000000005,3.8333333333333335,14.433333333333335,14.28,1.3630000000000002,winter,0.0,0.3630000000000002
550444,555109,555109,555109,555109,2017,30,2017-01-30,17.39,8.44,1.431,14.0,1.7243326652046431,14.733333333333333,5.7333333333333325,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.416666666666668,7.316666666666666,2.683333333333336,1.583333333333333,202.5975,48.0,18.92680124368772,0.7015535691054092,15.959,0.6302267186131975,1.331780287718607,202.5975,5.7333333333333325,14.733333333333333,17.39,1.431,winter,0.0,0.43100000000000005
550590,555255,555255,555255,555255,2017,31,2017-01-31,17.47,9.08,3.49,13.8,1.6569275430247516,13.366666666666667,3.0,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.433333333333334,7.3,4.066666666666666,4.3,218.021,48.0,19.09768701574221,0.6595916619905962,13.98,0.7307728990485787,1.3903645610391748,218.021,3.0,13.366666666666667,17.47,3.49,winter,0.0,2.49
550678,555343,555343,555343,555343,2017,32,2017-02-01,17.72,9.47,1.831,13.51,1.5569113070149974,14.333333333333336,4.5,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.45,7.283333333333332,3.1166666666666654,2.783333333333333,227.3835,48.0,19.27188841571398,0.7137987529364199,15.889,0.6487427605131221,1.362541513449542,227.3835,4.5,14.333333333333336,17.72,1.831,winter,0.2,0.831
550771,555436,555436,555436,555436,2017,33,2017-02-02,16.47,9.68,3.817,7.02,1.3716634990746663,15.466666666666669,5.2,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.483333333333334,7.283333333333332,2.0166666666666675,2.083333333333333,232.2885,48.0,19.4493422831224,0.5902397626960648,12.653,0.7479808881270832,1.3382206508231478,232.2885,5.2,15.466666666666669,16.47,3.817,winter,0.4,2.817
550819,555484,555484,555484,555484,2017,34,2017-02-03,18.65,11.5,3.553,11.48,2.4095821391678767,16.3,4.566666666666666,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.5,7.2666666666666675,1.1999999999999993,2.7,275.943,48.0,19.62998373591553,0.7348867588869813,15.096999999999998,0.7340607489683816,1.4689475078553629,275.943,4.566666666666666,16.3,18.65,3.553,winter,0.0,2.553
550895,555560,555560,555560,555560,2017,35,2017-02-04,18.73,14.05,7.13,14.18,3.3484114979987747,12.6,1.7333333333333334,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.516666666666666,7.25,4.916666666666666,5.516666666666668,337.3,48.0,19.81374619001905,0.6421849975632972,11.6,0.9435589697357574,1.5857439672990543,337.3,1.7333333333333334,12.6,18.73,7.13,winter,0.0,6.13
551049,555714,555714,555714,555714,2017,36,2017-02-05,17.66,13.04,4.674,15.46,3.937708825808366,12.166666666666664,23.766666666666666,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.533333333333335,7.233333333333332,5.366666666666669,-16.53333333333333,312.844,48.0,20.00056138184745,0.6416787877435066,12.986,0.7947883916097256,1.4364671793532322,312.844,23.766666666666666,12.166666666666664,17.66,4.674,winter,0.0,3.6740000000000004
551164,555830,555830,555830,555830,2017,37,2017-02-06,19.91,13.85,5.874,14.31,3.801869725780141,14.733333333333333,24.0,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.55,7.216666666666668,2.816666666666668,-16.78333333333333,332.375,48.0,20.1903593937894,0.7614663120703671,14.036,0.8646683531402135,1.6261346652105806,332.375,24.0,14.733333333333333,19.91,5.874,winter,0.0,4.874
551253,555919,555919,555919,555919,2017,38,2017-02-07,20.57,15.17,7.79,13.7,3.2137924699329936,13.433333333333335,4.566666666666666,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.566666666666666,7.2,4.133333333333333,2.6333333333333337,364.055,48.0,20.383068682669208,0.7522930061417253,12.78,0.9875031315713096,1.7397961377130349,364.055,4.566666666666666,13.433333333333335,20.57,7.79,winter,0.0,6.79
551272,555938,555938,555938,555938,2017,39,2017-02-08,16.33,10.19,1.7,16.65,3.005115080837588,14.9,23.4,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.583333333333332,7.183333333333334,2.683333333333332,-16.216666666666665,244.6405,48.0,20.57861611117723,0.6311750645835863,14.63,0.6426265041400321,1.2738015687236184,244.6405,23.4,14.9,16.33,1.7,winter,0.0,0.7
551420,556086,556086,556086,556086,2017,40,2017-02-09,13.62,6.86,0.632,15.09,1.7967374684780404,12.266666666666667,7.633333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.6,7.166666666666668,5.333333333333334,-0.4666666666666659,164.6295,48.0,20.776926982251968,0.5049056944684213,12.988,0.5946339535747632,1.0995396480431845,164.6295,7.633333333333333,12.266666666666667,13.62,0.632,winter,0.0,-0.368
551557,556223,556223,556223,556223,2017,41,2017-02-10,12.3,6.502000000000002,-0.6990000000000001,13.03,1.5233489590743423,13.0,5.166666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.616666666666667,7.15,4.616666666666667,1.9833333333333327,156.072,48.0,20.97792507638781,0.4662074173819027,12.999,0.5392771609634152,1.005484578345318,156.072,5.166666666666667,13.0,12.3,-0.6990000000000001,winter,0.0,-1.699
551570,556236,556236,556236,556236,2017,42,2017-02-11,12.9,9.35,7.0,7.05,1.3048863935915318,13.766666666666667,4.2,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.633333333333333,7.133333333333334,3.866666666666666,2.9333333333333336,224.315,48.0,21.181532691832786,0.3098205701264296,5.9,0.935109403393734,1.2449299735201635,224.315,4.2,13.766666666666667,12.9,7.0,winter,0.0,6.0
551683,556350,556350,556350,556350,2017,43,2017-02-12,16.4,11.04,6.7970000000000015,7.43,1.6886075652367438,14.533333333333331,1.1666666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.65,7.116666666666666,3.1166666666666654,5.9499999999999975,265.0605,48.0,21.387670687632166,0.5045739949939806,9.602999999999998,0.9220484144932768,1.4266224094872573,265.0605,1.1666666666666667,14.533333333333331,16.4,6.7970000000000015,winter,0.0,5.7970000000000015
551809,556476,556476,556476,556476,2017,44,2017-02-13,17.46,12.08,5.608,15.34,2.6755737466619487,14.266666666666667,23.8,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.666666666666668,7.1,3.4000000000000004,-16.700000000000006,289.9995,48.0,21.59625852946459,0.6037602614163052,11.852,0.8487275876226711,1.4524878490389763,289.9995,23.8,14.266666666666667,17.46,5.608,winter,1.6,4.608
551849,556516,556516,556516,556516,2017,45,2017-02-14,16.33,8.77,2.234,15.46,1.9405501899006263,14.1,6.2,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.683333333333334,7.083333333333332,3.583333333333334,0.8833333333333329,210.5945,48.0,21.807214338209143,0.6193751843313331,14.095999999999998,0.6678822525251616,1.2872574368564946,210.5945,6.2,14.1,16.33,2.234,winter,0.0,1.234
552027,556696,556696,556696,556696,2017,46,2017-02-15,14.74,8.73,2.829,16.44,2.13004442931519,14.033333333333331,6.2333333333333325,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.7,7.066666666666666,3.666666666666666,0.833333333333333,209.6245,48.0,22.02045494117364,0.515761604056599,11.911,0.6970525105642195,1.2128141146208185,209.6245,6.2333333333333325,14.033333333333331,14.74,2.829,winter,0.0,1.8290000000000002
552086,556755,556755,556755,556755,2017,47,2017-02-16,14.15,9.95,6.474,14.59,2.000419541838132,13.733333333333333,4.266666666666667,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.716666666666665,7.05,3.983333333333333,2.783333333333333,238.8275,48.0,22.235895925906096,0.388639912418173,7.676,0.9015979466535732,1.2902378590717465,238.8275,4.266666666666667,13.733333333333333,14.15,6.474,winter,0.0,5.474
552197,556866,556866,556866,556866,2017,48,2017-02-17,14.34,9.53,5.7410000000000005,11.55,1.5945628264508842,13.766666666666667,7.133333333333334,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.75,7.033333333333332,3.983333333333333,-0.1000000000000005,228.758,48.0,22.45345169650408,0.4196814926715609,8.599,0.8566652725405591,1.27634676521212,228.758,7.133333333333334,13.766666666666667,14.34,5.7410000000000005,winter,0.0,4.7410000000000005
552322,556991,556991,556991,556991,2017,49,2017-02-18,15.86,10.55,5.935,15.1,1.7823903203014175,14.1,7.366666666666666,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.766666666666666,7.016666666666668,3.666666666666666,-0.3499999999999996,253.17,48.0,22.67303553232901,0.4981392215180888,9.925,0.868360940280399,1.3665001617984878,253.17,7.366666666666666,14.1,15.86,5.935,winter,0.0,4.935
552349,557018,557018,557018,557018,2017,50,2017-02-19,10.97,9.44,8.33,4.308,1.6291925737139077,13.5,6.6,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.783333333333335,7.0,4.283333333333335,0.4000000000000004,226.555,48.0,22.894559649025396,0.1788209527599189,2.640000000000001,1.0247882299371598,1.2036091826970787,226.555,6.6,13.5,10.97,8.33,winter,0.0,7.33
552435,557104,557104,557104,557104,2017,51,2017-02-20,10.57,9.25,7.73,3.47,1.975584952092,16.9,4.533333333333333,RIAG/ALM04ZZZ,0.6473620121119412,0.0401813578903583,502.0,17.8,6.966666666666668,0.9000000000000021,2.4333333333333336,221.95,48.0,23.117935261738644,0.180995734025476,2.84,0.9834350419916784,1.1644307760171546,221.95,4.533333333333333,16.9,10.57,7.73,winter,0.2,6.73
